ID,Sex,Age,HiQual,Work,MarStat,NumAdult,NumChild,Accom,Tenure,NumRooms,TVSet,Cable,Comp,HmIntnet,SleepHours,EmploymentHours,ComputingHours,ReadingHours,TVVideoHours,RadioMusicHours,Degree
93,Male,68,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,9,Yes,Yes,Yes,Yes,7.833333333,0,0.166666667,0.5,3.333333333,0.5,University Degree
95,Female,71,Nursing or other medical qualification not yet mentioned,Not in empl.,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,9,Yes,Yes,Yes,Yes,7.666666667,0,0,0,2.5,0,No University Degree
97,Male,44,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,10.83333333,1.833333333,1.833333333,0,5,0,University Degree
99,Female,41,Nursing or other medical qualification not yet mentioned,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,6,8,0,0,4.333333333,0,No University Degree
103,Male,42,NVQ / SVQ,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,8,13,0.666666667,0,0,0,No University Degree
105,Female,35,Nursing or other medical qualification not yet mentioned,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,3.333333333,7.333333333,0.333333333,0,1,0,No University Degree
107,Female,84,Item not applicable,NA,NA,2,2,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,9.833333333,0,0,0.666666667,0.666666667,0,No University Degree
109,Female,36,Diploma in higher education,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,9.333333333,0,0,0,2.166666667,0,No University Degree
111,Male,79,O level or equivalent,Employed,"Single, never married",1,0,House or bungalow,Owner,3,Yes,No,No,No,5.666666667,5.833333333,0,0,0,0,No University Degree
113,Female,85,Any other professional/vocational/foreign qualifications,Retired,Divorced/Separated,1,0,House or bungalow,Owner,5,Yes,No,Yes,Yes,8,0,0,0,3.333333333,0,No University Degree
115,Female,34,Access to HE,Employed,"Single, never married",1,1,House or bungalow,Renter (Private),2,Yes,Yes,Yes,Yes,6.5,3,0,0,1,0,No University Degree
117,Male,64,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,No,Yes,Yes,9,0,1.166666667,1,2.5,0,University Degree
119,Female,65,Teaching qualification (excluding PGCE),Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,No,Yes,Yes,3,0,0,0,2,0,No University Degree
121,Female,45,"Degree level qualification incl. foundation degrees, graduat",Employed,"Single, never married",2,0,House or bungalow,Renter (Private),4,Yes,Yes,Yes,Yes,7,0,1.833333333,0,1.833333333,0,University Degree
123,Male,49,HNC / HND,Employed,Divorced/Separated,2,0,House or bungalow,Renter (Private),4,Yes,Yes,Yes,Yes,9.833333333,0,3.333333333,0,2,0,No University Degree
125,Male,45,None of the above,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),4,Yes,Yes,Yes,Yes,11.5,0,0,0,2,0,No University Degree
127,Female,43,"Degree level qualification incl. foundation degrees, graduat",Student,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),4,Yes,Yes,Yes,Yes,9.833333333,0,0,0,0.833333333,0,University Degree
133,Female,65,O level or equivalent,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,9.833333333,0,0,0,5.166666667,0,No University Degree
135,Male,61,O level or equivalent,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,10.5,7.333333333,0,0,3,0,No University Degree
137,Male,78,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,4.333333333,0,0,0,3.666666667,0,University Degree
139,Female,72,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,7.833333333,0,0,0,1.333333333,1,University Degree
141,Female,32,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,10,11.83333333,0,0,0,0,University Degree
143,Female,37,"Degree level qualification incl. foundation degrees, graduat",Employed,"Single, never married",1,0,House or bungalow,Renter (Private),5,Yes,No,Yes,Yes,6.333333333,8.5,0.833333333,0,0,0,University Degree
145,Female,71,O level or equivalent,Employed,Divorced/Separated,1,0,House or bungalow,Renter (Private),4,Yes,No,Yes,No,7.5,0,0,4.166666667,1,0,No University Degree
147,Male,50,None of the above,Disabled,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Public),3,Yes,Yes,Yes,No,9.333333333,0,0.333333333,0,6.166666667,0,No University Degree
149,Female,48,cse,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Public),3,Yes,Yes,Yes,No,11.33333333,0,0,0,3,0,No University Degree
155,Male,43,GCSE/Vocational GCSE,Employed,Married/Partnership/Cohabiting,2,1,House or bungalow,Renter (Private),4,Yes,No,Yes,Yes,9,0,0,0,8.166666667,0,No University Degree
157,Female,36,Diploma in higher education,Employed,Married/Partnership/Cohabiting,2,1,House or bungalow,Renter (Private),4,Yes,No,Yes,Yes,13.16666667,0,0.5,0,3.166666667,0,No University Degree
159,Male,90,None of the above,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,8.166666667,0,1,3.166666667,4.5,0,No University Degree
161,Female,81,O level or equivalent,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,7,2.666666667,0,0,3,0,No University Degree
163,Male,32,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,7.833333333,10.66666667,0,0,1.333333333,0,University Degree
165,Female,28,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,8.333333333,11,0,0,1.5,0,University Degree
167,Female,44,GCSE/Vocational GCSE,Employed,"Single, never married",2,1,House or bungalow,Renter (Public),4,Yes,Yes,Yes,Yes,8.333333333,0,0.5,0,3.5,0,No University Degree
171,Male,38,AS level or equivalent,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,8.666666667,7,1.666666667,0,0,0,No University Degree
173,Female,43, A level/GCE in Applied Subjects or equivalent,Not in empl.,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,9,5,0,0,0,0,No University Degree
175,Female,49,None of the above,Disabled,Divorced/Separated,2,0,Flat or maisonette,Renter (Public),3,Yes,No,No,Yes,8.833333333,0,0,0.166666667,6.666666667,0.5,No University Degree
179,Male,54,None of the above,Unemployed,Married/Partnership/Cohabiting,2,0,Flat or maisonette,Renter (Public),3,Yes,Yes,No,No,11.66666667,0,0,0,3.5,3,No University Degree
181,Female,58,GCSE/Vocational GCSE,Unemployed,Married/Partnership/Cohabiting,2,0,Flat or maisonette,Renter (Public),3,Yes,Yes,No,No,8,0,0,0,3.666666667,0,No University Degree
183,Male,54,HNC / HND,Employed,Married/Partnership/Cohabiting,2,2,Flat or maisonette,Owner,2,Yes,Yes,Yes,Yes,9.166666667,0,0,0,0,0,No University Degree
185,Female,52,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,2,Flat or maisonette,Owner,2,Yes,Yes,Yes,Yes,9,0,0.166666667,0,0,0,University Degree
191,Female,56,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,9.166666667,0,0,1.5,0,0.166666667,University Degree
193,Male,61,AS level or equivalent,Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,7.833333333,0,0,0,0,0,No University Degree
197,Male,75,O level or equivalent,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,8.666666667,0,4.833333333,0,1.5,0,No University Degree
199,Female,79,Diploma in higher education,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,8.5,0,0,1,0.666666667,0.333333333,No University Degree
201,Female,70,cse,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,No,Yes,Yes,9.5,0,0,0,3.5,0,No University Degree
203,Male,75,None of the above,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,No,Yes,Yes,8,0,0,1,5.5,0.333333333,No University Degree
205,Male,61,ONC / OND,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,7.666666667,0,0.5,0,4.166666667,0,No University Degree
207,Female,58,cse,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,8,0,0,2.666666667,0,0,No University Degree
209,Male,35,None of the above,Employed,Married/Partnership/Cohabiting,2,3,House or bungalow,Renter (Public),4,Yes,Yes,Yes,Yes,7,8.666666667,0,0,2.666666667,0,No University Degree
211,Female,39,Diploma in higher education,Employed,Married/Partnership/Cohabiting,2,3,House or bungalow,Renter (Public),4,Yes,Yes,Yes,Yes,7.333333333,5.166666667,0,0,6.666666667,0,No University Degree
213,Male,95,Item not applicable,NA,NA,2,3,House or bungalow,Renter (Public),4,Yes,Yes,Yes,Yes,11.83333333,0,0,0,7.666666667,0,No University Degree
217,Female,61,City and Guilds,Employed,Divorced/Separated,2,0,House or bungalow,Renter (Public),5,Yes,Yes,Yes,Yes,8,10.66666667,1,0,0,0,No University Degree
219,Male,53,None of the above,Employed,Divorced/Separated,2,0,House or bungalow,Renter (Public),5,Yes,Yes,Yes,Yes,6,0.166666667,0,0,0,0,No University Degree
221,Female,69,None of the above,Retired,Married/Partnership/Cohabiting,3,0,House or bungalow,Renter (Public),5,Yes,Yes,Yes,Yes,7.666666667,0,0,0,16.16666667,0,No University Degree
223,Male,45,None of the above,Employed,"Single, never married",3,0,House or bungalow,Renter (Public),5,Yes,Yes,Yes,Yes,8.833333333,0,0,0,12.5,0,No University Degree
227,Female,59,None of the above,Not in empl.,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,7,Yes,No,Yes,Yes,7.5,0,0,0,3.666666667,0,No University Degree
229,Male,44,BTEC/BEC/TEC/EdExcel/LQL,Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,7,Yes,No,Yes,Yes,9.666666667,0,0.166666667,0,4.166666667,0,No University Degree
231,Male,27,GCSE/Vocational GCSE,Employed,"Single, never married",3,0,House or bungalow,Owner,7,Yes,No,Yes,Yes,10.5,0,0.166666667,0,0,0,No University Degree
233,Female,63,NVQ / SVQ,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,9.333333333,0,0,0,1.5,0,No University Degree
235,Male,66,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,8,0,0.5,0,4.166666667,0,University Degree
237,Female,25,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Renter (Private),3,Yes,Yes,Yes,Yes,5.833333333,9,0,0,1.333333333,0,University Degree
239,Male,34,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Renter (Private),3,Yes,Yes,Yes,Yes,8,10.16666667,0.166666667,0,1.666666667,0,University Degree
241,Female,57,NVQ / SVQ,Employed,Married/Partnership/Cohabiting,4,1,House or bungalow,Owner,9,Yes,Yes,Yes,Yes,4.333333333,2,0,0,1.166666667,0,No University Degree
243,Male,66,None of the above,Employed,Divorced/Separated,1,0,Flat or maisonette,Owner,2,Yes,No,No,No,7.5,10,0,0,2.5,0,No University Degree
245,Female,64,None of the above,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,8.166666667,8.833333333,0,0,3.5,0,No University Degree
247,Male,64,Any other professional/vocational/foreign qualifications,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,7,5.333333333,0,1.833333333,3.666666667,0,No University Degree
249,Female,39,BTEC/BEC/TEC/EdExcel/LQL,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,5.833333333,0,0,0,0,0,No University Degree
251,Male,39,Any other professional/vocational/foreign qualifications,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,7.833333333,8.5,0.666666667,0,2.666666667,0,No University Degree
253,Male,38,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,1,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,7.833333333,0,0,1.333333333,3.166666667,0,University Degree
255,Female,35,"Degree level qualification incl. foundation degrees, graduat",Not in empl.,Married/Partnership/Cohabiting,2,1,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,8,0,0,0,3.166666667,0,University Degree
257,Female,38,GCSE/Vocational GCSE,Employed,Married/Partnership/Cohabiting,4,1,House or bungalow,Renter (Private),6,Yes,Yes,Yes,Yes,8,5,0,0,4,0,No University Degree
259,Male,34,GCSE/Vocational GCSE,Employed,Married/Partnership/Cohabiting,4,1,House or bungalow,Renter (Private),6,Yes,Yes,Yes,Yes,7,12.16666667,0,0,0,0,No University Degree
265,Male,95,Item not applicable,NA,NA,4,1,House or bungalow,Renter (Private),6,Yes,Yes,Yes,Yes,10,0,0,0,1.5,0,No University Degree
267,Male,36,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,5,Yes,No,Yes,Yes,9.333333333,0,0.166666667,0,3.5,0,University Degree
269,Female,36,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,5,Yes,No,Yes,Yes,11.66666667,0,0,0,1.666666667,0,University Degree
271,Female,58,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,4,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,6.166666667,0,0.166666667,0.833333333,2.666666667,0,University Degree
273,Male,23,"Degree level qualification incl. foundation degrees, graduat",Student,"Single, never married",4,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,10,2.833333333,0,0,1,0,University Degree
275,Male,56,HNC / HND,Retired,Married/Partnership/Cohabiting,4,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,9,0,1.833333333,0,4.5,0,No University Degree
277,Female,25, A level/GCE in Applied Subjects or equivalent,Employed,"Single, never married",1,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,9,7,0,0,1.5,0,No University Degree
279,Female,64,cse,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,8.666666667,0,0.5,0,0,0,No University Degree
281,Male,66,O level or equivalent,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,7.666666667,0,0.5,0,4.333333333,0,No University Degree
283,Male,50,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,5,0,House or bungalow,Owner,3,Yes,Yes,Yes,Yes,9,6,0,0,1,0,University Degree
285,Female,54,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,5,0,House or bungalow,Owner,3,Yes,Yes,Yes,Yes,9.333333333,0.333333333,0,0.5,3.833333333,0,University Degree
287,Male,45,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,1,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,8.166666667,8.5,0,0,3.333333333,0,University Degree
289,Female,45,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,1,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,9.166666667,0,0.666666667,0.666666667,1.5,0,University Degree
291,Male,95,Item not applicable,NA,NA,2,1,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,11,0,0,0,1,0,No University Degree
293,Male,27,"Degree level qualification incl. foundation degrees, graduat",Employed,"Single, never married",2,0,House or bungalow,Renter (Private),4,Yes,No,Yes,Yes,10.16666667,5.833333333,0.833333333,0,0.166666667,0,University Degree
295,Female,26,"Degree level qualification incl. foundation degrees, graduat",Employed,"Single, never married",2,0,House or bungalow,Renter (Private),4,Yes,No,Yes,Yes,6.666666667,6.166666667,0.5,0.333333333,0,0,University Degree
297,Female,45,AS level or equivalent,Employed,Married/Partnership/Cohabiting,4,1,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,6.5,7.333333333,0,0,3.5,0,No University Degree
299,Male,56,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,4,1,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,6.5,7.5,0.833333333,0,4.333333333,0.333333333,University Degree
305,Male,53,HNC / HND,Employed,Married/Partnership/Cohabiting,4,0,House or bungalow,Renter (Public),4,Yes,Yes,Yes,Yes,8.333333333,0,2.833333333,0.166666667,4.333333333,0,No University Degree
307,Female,47,GCSE/Vocational GCSE,Employed,Married/Partnership/Cohabiting,4,0,House or bungalow,Renter (Public),4,Yes,Yes,Yes,Yes,9.5,0,0.5,1.166666667,2.666666667,0,No University Degree
311,Female,72,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,8,0,0.5,0,0,0.166666667,University Degree
313,Male,77,HNC / HND,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,8.833333333,0,0,2,0.166666667,0.166666667,No University Degree
315,Female,65,"Degree level qualification incl. foundation degrees, graduat",Employed,Divorced/Separated,1,0,Flat or maisonette,Renter (Private),2,Yes,No,Yes,Yes,6.666666667,0,0.666666667,0,1,0,University Degree
317,Male,57,City and Guilds,Employed,Married/Partnership/Cohabiting,4,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,6.166666667,0,0.833333333,0,1.333333333,0,No University Degree
319,Female,57,O level or equivalent,Employed,Married/Partnership/Cohabiting,4,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,8.5,0,0,0.5,3.166666667,0,No University Degree
321,Male,54,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,8.833333333,0,0.166666667,1.5,2,0,University Degree
323,Female,56,Teaching qualification (excluding PGCE),Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,8,Yes,Yes,Yes,Yes,8.5,0,0,0.333333333,2,0,No University Degree
325,Male,86,HNC / HND,Retired,Widowed,1,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,8.666666667,0,0.333333333,0,10,1,No University Degree
327,Female,49,HNC / HND,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),5,Yes,No,Yes,Yes,8.333333333,0,0.833333333,0.5,1.333333333,0,No University Degree
329,Male,57,HNC / HND,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),5,Yes,No,Yes,Yes,6.5,0,0,0.5,1,0,No University Degree
334,Male,74,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,No,Yes,Yes,7.833333333,0,1.833333333,1.833333333,1.666666667,0,University Degree
